School ID,school_name,type,size,budget
0,Huang High School,District,2917,"$1,910,635.00"
1,Figueroa High School,District,2949,"$1,884,411.00"
2,Shelton High School,Charter,1761,"$1,056,600.00"
3,Hernandez High School,District,4635,"$3,022,020.00"
4,Griffin High School,Charter,1468,"$917,500.00"
5,Wilson High School,Charter,2283,"$1,319,574.00"
6,Cabrera High School,Charter,1858,"$1,081,356.00"
7,Bailey High School,District,4976,"$3,124,928.00"
8,Holden High School,Charter,427,"$248,087.00"
9,Pena High School,Charter,962,"$585,858.00"
10,Wright High School,Charter,1800,"$1,049,400.00"
11,Rodriguez High School,District,3999,"$2,547,363.00"
12,Johnson High School,District,4761,"$3,094,650.00"
13,Ford High School,District,2739,"$1,763,916.00"
14,Thomas High School,Charter,1635,"$1,043,130.00"
